x1,x2,y
11.0,0.14045206361291815,11.0
19.0,0.4738671674598528,15.0
31.0,1.7133518566602763,20.0
16.0,0.8889534315635175,13.0
36.0,0.1181937975569986,23.0
37.0,1.4641451371022527,24.0
15.0,1.4535433353673435,13.0
13.0,1.1739078011744053,12.0
36.0,1.583029751521475,23.0
23.0,1.2645552853698925,17.0
37.0,1.0729134025681755,23.0
32.0,2.674463832735782,21.0
18.0,0.5439222693708338,14.0
22.0,1.3149898503570332,16.0
21.0,1.1640047487879552,15.0
25.0,0.14029933779706844,17.0
26.0,0.6406638261435661,18.0
26.0,1.1114259090190235,18.0
22.0,0.24697485075904937,16.0
55.0,1.5413193409083354,33.0
14.0,0.8074800291632522,12.0
28.0,0.33611512296863205,19.0
29.0,0.6212482865630558,20.0
42.0,1.5822652718401804,26.0
36.0,0.8920503700408406,23.0
21.0,0.7596187474822549,16.0
29.0,0.9457289389102624,19.0
43.0,0.005737476387814598,27.0
26.0,1.2929563335698018,18.0
14.0,1.9185462315135078,12.0
29.0,0.1786230354474111,19.0
15.0,0.6963465478204369,13.0
24.0,2.1651719214419196,17.0
25.0,0.6310593233928281,18.0
25.0,0.5089717986932786,17.0
25.0,2.8563786577329964,18.0
31.0,0.5859457802707495,21.0
35.0,0.3739782550378364,23.0
36.0,1.1379048868871482,23.0
34.0,0.1801568942795293,22.0
36.0,0.12483844694671847,23.0
42.0,0.7196332842819831,26.0
33.0,0.21159412589090482,22.0
38.0,0.7012897078248823,24.0
31.0,0.12047662833820316,21.0
26.0,0.6894480382166255,18.0
26.0,0.29685338228093844,18.0
48.0,-0.0032018633927686398,29.0
41.0,0.8796441117809068,25.0
36.0,0.915065363210684,23.0
25.0,0.7970470081540801,18.0
26.0,1.2842050654386243,18.0
38.0,0.815465578332809,24.0
37.0,1.9090638842800907,24.0
20.0,0.07417462235084929,15.0
11.0,0.03775064324425589,10.0
20.0,0.5802846022716087,15.0
35.0,1.3607706717039734,23.0
15.0,0.1307409276336272,12.0
46.0,0.9753544081834495,28.0
35.0,1.1527706392308903,23.0
38.0,1.0772097211651905,24.0
29.0,0.07598571329788095,20.0
25.0,0.5731393133951284,18.0
12.0,0.7185945345572259,11.0
28.0,1.4087695904891535,19.0
27.0,0.5017511463816422,18.0
27.0,0.28705445092266985,19.0
36.0,1.4878324874799773,23.0
20.0,0.8972548455980031,15.0
31.0,0.6488177279685376,20.0
30.0,1.8988971077182422,20.0
23.0,1.2087491572794538,17.0
15.0,0.21650067152347918,13.0
37.0,0.977023792596419,23.0
39.0,0.49697258910555103,25.0
22.0,-0.030493305321771993,16.0
20.0,2.318461114729324,15.0
24.0,0.12320724057355328,17.0
26.0,0.35985301148858306,18.0
36.0,2.5798680966644145,23.0
31.0,1.1672595375294479,20.0
21.0,0.08260642990896054,15.0
30.0,0.3317753338607104,20.0
31.0,0.737578447632298,20.0
51.0,1.135681499752188,31.0
41.0,0.6865101657796737,26.0
14.0,0.3853554085499033,12.0
31.0,0.10246672837928018,20.0
31.0,0.9154686231954585,21.0
23.0,1.0128368951067035,17.0
23.0,1.0969743796462292,16.0
46.0,0.1194287867578253,28.0
44.0,0.9570451942365413,27.0
17.0,0.7168134522371173,13.0
43.0,0.9459974744517019,27.0
33.0,0.6394467416387849,22.0
30.0,0.8152189401492329,20.0
28.0,1.939761901565424,19.0
25.0,0.6674528725440727,18.0
45.0,1.340596580326427,27.0
39.0,0.4149859058414122,24.0
39.0,0.04586922789328339,24.0
25.0,0.3508871662245517,17.0
28.0,1.384242340187085,19.0
39.0,1.1344109700521734,24.0
28.0,0.3084170693567987,19.0
34.0,1.379155066881882,22.0
26.0,0.09896697327638039,18.0
47.0,0.6398966206647946,29.0
14.0,0.6318931682656753,12.0
31.0,1.1311282862295624,21.0
28.0,1.3095843180645323,19.0
10.0,0.16078504805905536,10.0
32.0,0.4047382015420954,21.0
35.0,1.4394053775204774,22.0
37.0,0.6721225860482686,24.0
41.0,0.14269178295594137,26.0
21.0,1.0032753177214615,15.0
19.0,0.8404271370094678,14.0
32.0,0.09128585028585157,21.0
30.0,1.2974375231615862,20.0
11.0,1.412899837926796,10.0
26.0,0.7454953518878817,18.0
25.0,2.2159363917590347,17.0
35.0,1.6300967426001731,22.0
44.0,0.3988391508350007,27.0
36.0,1.2387806285158347,23.0
49.0,1.5748717338087679,30.0
25.0,1.349032571357721,17.0
24.0,1.2657957442373369,17.0
37.0,1.638354300956362,24.0
33.0,0.11518407038260639,22.0
44.0,0.7406654072923238,27.0
10.0,1.746555321881474,10.0
38.0,0.7267762657393378,24.0
27.0,0.7653000252763899,19.0
38.0,0.4495171155103796,24.0
26.0,0.3526909443730363,18.0
25.0,1.1287662104847687,18.0
26.0,1.6043767052238322,18.0
53.0,0.6312478267338506,31.0
17.0,0.8714151329427873,14.0
40.0,0.8881393027500636,25.0
49.0,1.2901227441977252,29.0
29.0,0.2493137724713282,20.0
24.0,0.949881554508952,17.0
18.0,2.9764879036481036,14.0
39.0,2.5471167188684194,24.0
39.0,0.786787171746816,25.0
43.0,0.05748211628583511,27.0
30.0,0.07426819006979846,20.0
32.0,1.3395706966373633,21.0
21.0,0.46042801638707326,15.0
32.0,0.6118893175083303,21.0
24.0,0.45061899350383383,17.0
14.0,0.5462285103987287,12.0
44.0,1.00411118110468,27.0
5.0,0.6087528355503233,8.0
34.0,0.3106426799718373,22.0
30.0,0.06684945734232045,20.0
19.0,0.446924132681984,15.0
26.0,1.407132297920114,18.0
25.0,0.8697206194267926,18.0
47.0,2.9004905981003053,28.0
21.0,0.19736666233085534,16.0
26.0,1.0515653611606144,18.0
54.0,0.37455183683536447,32.0
25.0,0.2696098720411735,18.0
24.0,0.16266798618845094,17.0
19.0,1.756578736661852,14.0
29.0,1.1469190670903517,19.0
25.0,2.2730236850326295,18.0
33.0,2.1160284997276193,22.0
39.0,0.3026675762385653,25.0
42.0,0.1835941273930736,26.0
33.0,0.8822435076682899,22.0
36.0,0.6616368768673737,23.0
24.0,0.7811008391637664,17.0
33.0,0.31054317711899104,22.0
36.0,0.7007992686475039,23.0
27.0,0.5198993030570922,19.0
43.0,1.08074140559322,27.0
47.0,0.3758291968007351,28.0
42.0,0.7545475143099691,26.0
17.0,0.37041002871186646,14.0
39.0,0.8421785723164293,25.0
29.0,0.5300792780369535,19.0
30.0,1.2315531281302692,20.0
36.0,1.5242393527844404,23.0
18.0,0.8875360287286769,14.0
25.0,0.9598438750285823,17.0
37.0,0.30944824389820674,24.0
31.0,0.05673269931110382,20.0
20.0,0.6382305182973368,15.0
50.0,0.707230398531119,30.0
9.0,0.8083114631779321,10.0
26.0,0.8632287823415018,18.0
20.0,2.6367011346559575,15.0
37.0,0.04041936787720006,23.0
24.0,1.8358381833672335,17.0
19.0,0.45482632845722304,14.0
28.0,0.5012770120580402,19.0
28.0,0.43686502938441896,19.0
26.0,0.919503599281647,18.0
41.0,0.12239009768057865,26.0
26.0,0.002038177811917446,18.0
31.0,1.9373501633370307,20.0
20.0,0.6382374989172871,15.0
42.0,0.6884157379689432,26.0
17.0,0.06385513633537496,14.0
40.0,2.615584683618,25.0
32.0,0.2136851921291575,21.0
18.0,1.178644174191712,14.0
20.0,1.5734134226913659,15.0
29.0,1.405890853770206,20.0
27.0,0.34889973107671257,19.0
49.0,2.2536238551791765,30.0
14.0,0.9264512660164657,12.0
22.0,2.8323270164134278,16.0
23.0,0.5300107696444891,17.0
20.0,0.3920582966110441,15.0
44.0,0.40648569121361827,27.0
42.0,0.9755167093863766,26.0
37.0,1.2612659112015248,24.0
10.0,0.004556556511104974,10.0
21.0,1.255466828698327,15.0
43.0,0.2205604263349835,26.0
57.0,0.45640352147061636,34.0
36.0,0.6092757428282513,23.0
35.0,0.18856091740589578,23.0
32.0,0.44227814156246736,21.0
9.0,0.04351760243541328,9.0
29.0,2.0259182504138558,19.0
43.0,1.1204224633180813,26.0
19.0,0.1709296754771289,14.0
16.0,0.837468932174582,13.0
16.0,0.2528319973943328,13.0
25.0,0.6302737288866612,17.0
43.0,0.42327004552018055,27.0
42.0,0.7167736392225963,26.0
25.0,1.188108366501032,17.0
