3.700000000000000000e+01 2.920000000000000000e+02
4.000000000000000000e+01 2.280000000000000000e+02
4.900000000000000000e+01 3.240000000000000000e+02
6.100000000000000000e+01 3.760000000000000000e+02
7.200000000000000000e+01 4.400000000000000000e+02
7.900000000000000000e+01 4.960000000000000000e+02
8.300000000000000000e+01 5.360000000000000000e+02
8.100000000000000000e+01 5.560000000000000000e+02
7.500000000000000000e+01 4.960000000000000000e+02
6.400000000000000000e+01 4.120000000000000000e+02
5.300000000000000000e+01 3.240000000000000000e+02
4.000000000000000000e+01 3.200000000000000000e+02
7.340000000000000000e+02 4.800000000000000000e+03
6.116666666666666430e+01 4.000000000000000000e+02
6.250000000000000000e+01 3.940000000000000000e+02
