2020.00,12.00,2.75,5.30,1464.00
2020.00,11.00,2.50,5.30,1394.00
2020.00,10.00,2.50,5.30,1357.00
2020.00,9.00,2.50,5.30,1293.00
2020.00,8.00,2.50,5.40,1256.00
2020.00,7.00,2.50,5.60,1254.00
2020.00,6.00,2.50,5.50,1234.00
2020.00,5.00,2.25,5.50,1195.00
2020.00,4.00,2.25,5.50,1159.00
2020.00,3.00,2.25,5.60,1167.00
2020.00,2.00,2.00,5.70,1130.00
2020.00,1.00,2.00,5.90,1075.00
2021.00,12.00,2.00,6.00,1047.00
2021.00,11.00,1.75,5.90,965.00
2021.00,10.00,1.75,5.80,943.00
2021.00,9.00,1.75,6.10,958.00
2021.00,8.00,1.75,6.20,971.00
2021.00,7.00,1.75,6.10,949.00
2021.00,6.00,1.75,6.10,884.00
2021.00,5.00,1.75,6.10,866.00
2021.00,4.00,1.75,5.90,876.00
2021.00,3.00,1.75,6.20,822.00
2021.00,2.00,1.75,6.20,704.00
2021.00,1.00,1.75,6.10,719.00
