date,symbol,open,high,low,close,Volume BTC,Volume USDT
04/01/2022 0:00,BTC/USDT,46446.1,46527.3,46275,46296.06,340.43581,15802209.19
03/01/2022 23:00,BTC/USDT,46217.91,46576.94,46170.64,46446.1,1055.33575,48968310.06
03/01/2022 22:00,BTC/USDT,45979.01,46439.97,45961.59,46217.9,1002.70049,46324222.05
03/01/2022 21:00,BTC/USDT,45922.01,46260.44,45811.87,45979.01,1055.66747,48591220.47
03/01/2022 20:00,BTC/USDT,46360.01,46413.47,45696,45922,3127.50381,143787456.7
03/01/2022 19:00,BTC/USDT,46475.6,46645.34,46360,46360.01,661.7066,30781303.11
03/01/2022 18:00,BTC/USDT,46577.16,46740.96,46412.99,46472.73,662.25,30838195.28
03/01/2022 17:00,BTC/USDT,46482.34,46790,46411.78,46577.15,1121.75227,52288357.29
03/01/2022 16:00,BTC/USDT,46693.44,46780,46263.29,46482.34,3415.75302,158637726.5
03/01/2022 15:00,BTC/USDT,46874.53,47018,46575.25,46693.45,1754.81723,82124492.15
03/01/2022 14:00,BTC/USDT,47153.5,47285.39,46765,46874.53,1711.43,80441655.49
03/01/2022 13:00,BTC/USDT,47194.39,47495.96,47127.51,47153.5,813.83783,38467412.18
03/01/2022 12:00,BTC/USDT,47378,47570,47175.01,47194.39,1183.63545,56066096.43
03/01/2022 11:00,BTC/USDT,47126.02,47431.67,47125.48,47378,1451.6891,68664798.55
03/01/2022 10:00,BTC/USDT,46984.56,47251.19,46981.84,47126.02,1138.98932,53693996.63
03/01/2022 9:00,BTC/USDT,46978.81,47109.25,46778,46984.55,987.07117,46306909.12
03/01/2022 8:00,BTC/USDT,47051.36,47135.97,46922.27,46978.82,684.64114,32190242.65
03/01/2022 7:00,BTC/USDT,46923.75,47080,46852.38,47051.37,635.22586,29829890.68
03/01/2022 6:00,BTC/USDT,47078.64,47100,46877.84,46923.75,596.63069,28040771.19
03/01/2022 5:00,BTC/USDT,46822.26,47211.09,46750.13,47078.64,918.62173,43151873.19
03/01/2022 4:00,BTC/USDT,46793.27,46944.77,46750,46822.26,688.49875,32259048.57
03/01/2022 3:00,BTC/USDT,46999.98,47084.8,46722.39,46793.26,850.43854,39858845.73
03/01/2022 2:00,BTC/USDT,47116.22,47116.71,46858.44,46999.98,781.70714,36713937.08
03/01/2022 1:00,BTC/USDT,47050.09,47138.78,46950,47116.71,628.0558,29545322.68
03/01/2022 0:00,BTC/USDT,47286.18,47289.11,47050,47050.08,734.11794,34631424.49
02/01/2022 23:00,BTC/USDT,47255.39,47469.34,47255.38,47286.18,749.48136,35488094.22
02/01/2022 22:00,BTC/USDT,47017.98,47398.99,47014.84,47255.38,683.72196,32298092.83
02/01/2022 21:00,BTC/USDT,47007.14,47187.98,46913.27,47018.03,432.59568,20353215
02/01/2022 20:00,BTC/USDT,46907.67,47050,46815.17,47007.14,570.22257,26773711.71
02/01/2022 19:00,BTC/USDT,47056.43,47217.1,46851.51,46907.68,937.38607,44050432.7
02/01/2022 18:00,BTC/USDT,47401.14,47401.14,46654,47058.12,1852.33799,87074188.16
02/01/2022 17:00,BTC/USDT,47792.29,47990,47317.46,47401.14,1440.59237,68642927.27
02/01/2022 16:00,BTC/USDT,47340.47,47886,47273.64,47792.3,1367.5695,65059041.57
02/01/2022 15:00,BTC/USDT,47112.54,47390,47071.27,47340.47,784.16369,37034369.05
02/01/2022 14:00,BTC/USDT,47137.35,47202.39,47020,47112.55,617.66611,29105931.94
02/01/2022 13:00,BTC/USDT,47289.67,47300.86,47090,47137.35,580.44121,27379356.59
02/01/2022 12:00,BTC/USDT,47238.89,47447,47013.5,47292.95,798.05773,37687789.89
02/01/2022 11:00,BTC/USDT,47188.88,47400,47159.57,47235.5,359.02993,16973153.65
02/01/2022 10:00,BTC/USDT,47273.23,47348.34,47140.3,47188.89,390.08901,18437661.81
02/01/2022 9:00,BTC/USDT,47222.4,47499.45,47144.12,47273.24,792.44368,37508111.28
02/01/2022 8:00,BTC/USDT,47173.44,47247.12,46970.05,47222.4,578.28603,27254939.8
02/01/2022 7:00,BTC/USDT,47122.6,47300,47087.62,47173.45,544.37433,25684083.15
02/01/2022 6:00,BTC/USDT,47081.28,47244,47011.24,47122.61,528.20197,24892334.12
02/01/2022 5:00,BTC/USDT,46910.3,47089.63,46832.08,47081.28,686.20377,32222910.71
02/01/2022 4:00,BTC/USDT,47329.47,47415.73,46770.23,46910.3,1259.6882,59314365.87
02/01/2022 3:00,BTC/USDT,47370.49,47467.11,47269.47,47329.47,387.25302,18338323.32
02/01/2022 2:00,BTC/USDT,47377.97,47449.56,47275.5,47370.5,452.39245,21431205.77
02/01/2022 1:00,BTC/USDT,47625.29,47641.83,47315.38,47377.97,465.7536,22096206.48
02/01/2022 0:00,BTC/USDT,47722.66,47750,47381.12,47625.3,1082.50817,51510548.66
01/01/2022 23:00,BTC/USDT,47440.74,47814,47277.77,47722.65,746.28954,35498428.52
01/01/2022 22:00,BTC/USDT,47319.66,47490.98,47222.22,47440.74,466.47861,22096653.54
01/01/2022 21:00,BTC/USDT,47391.82,47573.05,47268.79,47319.67,809.21927,38367198.62
01/01/2022 20:00,BTC/USDT,47329.79,47559.03,47250.18,47391.82,717.20792,33997955.14
